seqnames	start	end	width	strand	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	ENTREZID	SYMBOL	GENENAME
1	629124	629991	868	*	Promoter (<=1kb)	1	629640	630683	1044	1	ENSG00000225630	ENST00000457540	0	100652939	MTND2P28	MT-ND2 pseudogene 28
1	629124	629991	868	*	Promoter (<=1kb)	1	629640	630683	1044	1	ENSG00000225630	ENST00000457540	0	100652939	MTND2P28	MT-ND2 pseudogene 28
1	629124	629991	868	*	Promoter (<=1kb)	1	629640	630683	1044	1	ENSG00000225630	ENST00000457540	0	100652939	MTND2P28	MT-ND2 pseudogene 28
1	629124	629991	868	*	Promoter (<=1kb)	1	629640	630683	1044	1	ENSG00000225630	ENST00000457540	0	100652939	MTND2P28	MT-ND2 pseudogene 28
1	630832	631298	467	*	Promoter (<=1kb)	1	631074	632616	1543	1	ENSG00000237973	ENST00000414273	0	107075141	MTCO1P12	MT-CO1 pseudogene 12
1	630832	631298	467	*	Promoter (<=1kb)	1	631074	632616	1543	1	ENSG00000237973	ENST00000414273	0	107075141	MTCO1P12	MT-CO1 pseudogene 12
1	631958	632286	329	*	Promoter (<=1kb)	1	632325	632413	89	2	ENSG00000278791	ENST00000621981	127	NA	NA	NA
1	631958	632286	329	*	Promoter (<=1kb)	1	632325	632413	89	2	ENSG00000278791	ENST00000621981	127	NA	NA	NA
1	632526	632946	421	*	Promoter (<=1kb)	1	632757	633438	682	1	ENSG00000229344	ENST00000427426	0	107075310	MTCO2P12	MT-CO2 pseudogene 12
1	633767	634305	539	*	Promoter (<=1kb)	1	633696	634376	681	1	ENSG00000248527	ENST00000514057	71	106480796	MTATP6P1	MT-ATP6 pseudogene 1
1	904466	904624	159	*	Promoter (<=1kb)	1	904834	915976	11143	1	ENSG00000272438	ENST00000607769	-210	NA	NA	NA
1	1064021	1064230	210	*	Promoter (<=1kb)	1	1064495	1066274	1780	1	ENSG00000291156	ENST00000433695	-265	100288175	LOC100288175	uncharacterized LOC100288175
1	1078571	1079174	604	*	Distal Intergenic	1	1070967	1074306	3340	2	ENSG00000237330	ENST00000453464	-4265	401934	RNF223	ring finger protein 223
1	1078571	1079174	604	*	Distal Intergenic	1	1070967	1074306	3340	2	ENSG00000237330	ENST00000453464	-4265	401934	RNF223	ring finger protein 223
1	1079676	1079919	244	*	Distal Intergenic	1	1082146	1084072	1927	2	ENSG00000131591	ENST00000464905	4153	54991	C1orf159	chromosome 1 open reading frame 159
1	1109872	1110021	150	*	Intron (ENST00000379339/ENSG00000131591, intron 2 of 11)	1	1082700	1106127	23428	2	ENSG00000131591	ENST00000379319	-3745	54991	C1orf159	chromosome 1 open reading frame 159
1	1157516	1157680	165	*	Distal Intergenic	1	1167104	1167198	95	1	ENSG00000207730	ENST00000384997	-9424	406984	MIR200B	microRNA 200b
1	1201898	1202476	579	*	Distal Intergenic	1	1203844	1205680	1837	2	ENSG00000186891	ENST00000486728	3204	8784	TNFRSF18	TNF receptor superfamily member 18
1	2212677	2212892	216	*	Promoter (<=1kb)	1	2189548	2212720	23173	2	ENSG00000162585	ENST00000487186	0	199990	FAAP20	FA core complex associated protein 20
1	2652883	2653758	876	*	Intron (ENST00000401095/ENSG00000215912, intron 6 of 8)	1	2590639	2633016	42378	2	ENSG00000142606	ENST00000378412	-19867	79258	MMEL1	membrane metalloendopeptidase like 1
