seqnames	start	end	width	strand	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	ENTREZID	SYMBOL	GENENAME
1	433259	433537	279	*	Intron (ENST00000455207/ENSG00000290385, intron 1 of 2)	1	439870	440232	363	1	ENSG00000269732	ENST00000437905	-6333	NA	NA	NA
1	502397	502693	297	*	Promoter (<=1kb)	1	494464	502508	8045	2	ENSG00000290385	ENST00000440038	0	NA	NA	NA
1	629108	630009	902	*	Promoter (<=1kb)	1	629640	630683	1044	1	ENSG00000225630	ENST00000457540	0	100652939	MTND2P28	MT-ND2 pseudogene 28
1	629108	630009	902	*	Promoter (<=1kb)	1	629640	630683	1044	1	ENSG00000225630	ENST00000457540	0	100652939	MTND2P28	MT-ND2 pseudogene 28
1	629108	630009	902	*	Promoter (<=1kb)	1	629640	630683	1044	1	ENSG00000225630	ENST00000457540	0	100652939	MTND2P28	MT-ND2 pseudogene 28
1	629108	630009	902	*	Promoter (<=1kb)	1	629640	630683	1044	1	ENSG00000225630	ENST00000457540	0	100652939	MTND2P28	MT-ND2 pseudogene 28
1	630242	630473	232	*	Promoter (<=1kb)	1	631074	632616	1543	1	ENSG00000237973	ENST00000414273	-601	107075141	MTCO1P12	MT-CO1 pseudogene 12
1	630779	631371	593	*	Promoter (<=1kb)	1	631074	632616	1543	1	ENSG00000237973	ENST00000414273	0	107075141	MTCO1P12	MT-CO1 pseudogene 12
1	630779	631371	593	*	Promoter (<=1kb)	1	631074	632616	1543	1	ENSG00000237973	ENST00000414273	0	107075141	MTCO1P12	MT-CO1 pseudogene 12
1	630779	631371	593	*	Promoter (<=1kb)	1	631074	632616	1543	1	ENSG00000237973	ENST00000414273	0	107075141	MTCO1P12	MT-CO1 pseudogene 12
1	631879	633523	1645	*	Promoter (<=1kb)	1	632757	633438	682	1	ENSG00000229344	ENST00000427426	0	107075310	MTCO2P12	MT-CO2 pseudogene 12
1	631879	633523	1645	*	Promoter (<=1kb)	1	632757	633438	682	1	ENSG00000229344	ENST00000427426	0	107075310	MTCO2P12	MT-CO2 pseudogene 12
1	631879	633523	1645	*	Promoter (<=1kb)	1	632757	633438	682	1	ENSG00000229344	ENST00000427426	0	107075310	MTCO2P12	MT-CO2 pseudogene 12
1	631879	633523	1645	*	Promoter (<=1kb)	1	632757	633438	682	1	ENSG00000229344	ENST00000427426	0	107075310	MTCO2P12	MT-CO2 pseudogene 12
1	631879	633523	1645	*	Promoter (<=1kb)	1	632757	633438	682	1	ENSG00000229344	ENST00000427426	0	107075310	MTCO2P12	MT-CO2 pseudogene 12
1	631879	633523	1645	*	Promoter (<=1kb)	1	632757	633438	682	1	ENSG00000229344	ENST00000427426	0	107075310	MTCO2P12	MT-CO2 pseudogene 12
1	631879	633523	1645	*	Promoter (<=1kb)	1	632757	633438	682	1	ENSG00000229344	ENST00000427426	0	107075310	MTCO2P12	MT-CO2 pseudogene 12
1	631879	633523	1645	*	Promoter (<=1kb)	1	632757	633438	682	1	ENSG00000229344	ENST00000427426	0	107075310	MTCO2P12	MT-CO2 pseudogene 12
1	633740	634897	1158	*	Promoter (<=1kb)	1	634376	634922	547	1	ENSG00000198744	ENST00000416718	0	107075270	MTCO3P12	MT-CO3 pseudogene 12
1	633740	634897	1158	*	Promoter (<=1kb)	1	634376	634922	547	1	ENSG00000198744	ENST00000416718	0	107075270	MTCO3P12	MT-CO3 pseudogene 12
1	633740	634897	1158	*	Promoter (<=1kb)	1	634376	634922	547	1	ENSG00000198744	ENST00000416718	0	107075270	MTCO3P12	MT-CO3 pseudogene 12
1	633740	634897	1158	*	Promoter (<=1kb)	1	634376	634922	547	1	ENSG00000198744	ENST00000416718	0	107075270	MTCO3P12	MT-CO3 pseudogene 12
