seqnames	start	end	width	strand	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	ENTREZID	SYMBOL	GENENAME
1	609870	610036	167	*	Promoter (2-3kb)	1	586071	612813	26743	2	ENSG00000293331	ENST00000634833	2777	101928626	LOC101928626	uncharacterized LOC101928626
1	629136	629990	855	*	Promoter (<=1kb)	1	629640	630683	1044	1	ENSG00000225630	ENST00000457540	0	100652939	MTND2P28	MT-ND2 pseudogene 28
1	629136	629990	855	*	Promoter (<=1kb)	1	629640	630683	1044	1	ENSG00000225630	ENST00000457540	0	100652939	MTND2P28	MT-ND2 pseudogene 28
1	629136	629990	855	*	Promoter (<=1kb)	1	629640	630683	1044	1	ENSG00000225630	ENST00000457540	0	100652939	MTND2P28	MT-ND2 pseudogene 28
1	629136	629990	855	*	Promoter (<=1kb)	1	629640	630683	1044	1	ENSG00000225630	ENST00000457540	0	100652939	MTND2P28	MT-ND2 pseudogene 28
1	630840	631282	443	*	Promoter (<=1kb)	1	631074	632616	1543	1	ENSG00000237973	ENST00000414273	0	107075141	MTCO1P12	MT-CO1 pseudogene 12
1	630840	631282	443	*	Promoter (<=1kb)	1	631074	632616	1543	1	ENSG00000237973	ENST00000414273	0	107075141	MTCO1P12	MT-CO1 pseudogene 12
1	631961	632245	285	*	Promoter (<=1kb)	1	632325	632413	89	2	ENSG00000278791	ENST00000621981	168	NA	NA	NA
1	631961	632245	285	*	Promoter (<=1kb)	1	632325	632413	89	2	ENSG00000278791	ENST00000621981	168	NA	NA	NA
1	632556	632946	391	*	Promoter (<=1kb)	1	632757	633438	682	1	ENSG00000229344	ENST00000427426	0	107075310	MTCO2P12	MT-CO2 pseudogene 12
1	632556	632946	391	*	Promoter (<=1kb)	1	632757	633438	682	1	ENSG00000229344	ENST00000427426	0	107075310	MTCO2P12	MT-CO2 pseudogene 12
1	633774	634304	531	*	Promoter (<=1kb)	1	634376	634922	547	1	ENSG00000198744	ENST00000416718	-72	107075270	MTCO3P12	MT-CO3 pseudogene 12
1	633774	634304	531	*	Promoter (<=1kb)	1	634376	634922	547	1	ENSG00000198744	ENST00000416718	-72	107075270	MTCO3P12	MT-CO3 pseudogene 12
1	633774	634304	531	*	Promoter (<=1kb)	1	634376	634922	547	1	ENSG00000198744	ENST00000416718	-72	107075270	MTCO3P12	MT-CO3 pseudogene 12
1	966220	966356	137	*	Promoter (<=1kb)	1	966482	975865	9384	1	ENSG00000187583	ENST00000379410	-126	84069	PLEKHN1	pleckstrin homology domain containing N1
1	976026	976519	494	*	Promoter (<=1kb)	1	975205	976641	1437	2	ENSG00000187642	ENST00000479361	122	84808	PERM1	PPARGC1 and ESRR induced regulator, muscle 1
1	976026	976519	494	*	Promoter (<=1kb)	1	975205	976641	1437	2	ENSG00000187642	ENST00000479361	122	84808	PERM1	PPARGC1 and ESRR induced regulator, muscle 1
1	1006451	1006642	192	*	Promoter (1-2kb)	1	1008076	1008229	154	2	ENSG00000231702	ENST00000423619	1587	NA	NA	NA
1	1013223	1013536	314	*	Promoter (<=1kb)	1	1013497	1014540	1044	1	ENSG00000187608	ENST00000649529	0	9636	ISG15	ISG15 ubiquitin like modifier
1	1063989	1064241	253	*	Promoter (<=1kb)	1	1064495	1066274	1780	1	ENSG00000291156	ENST00000433695	-254	100288175	LOC100288175	uncharacterized LOC100288175
1	1067749	1068167	419	*	Exon (ENST00000412397/ENSG00000217801, exon 8 of 10)	1	1064518	1066441	1924	1	ENSG00000291156	ENST00000451054	3231	100288175	LOC100288175	uncharacterized LOC100288175
1	1067749	1068167	419	*	Exon (ENST00000412397/ENSG00000217801, exon 8 of 10)	1	1064518	1066441	1924	1	ENSG00000291156	ENST00000451054	3231	100288175	LOC100288175	uncharacterized LOC100288175
1	1078552	1079151	600	*	Distal Intergenic	1	1070967	1074306	3340	2	ENSG00000237330	ENST00000453464	-4246	401934	RNF223	ring finger protein 223
1	1078552	1079151	600	*	Distal Intergenic	1	1070967	1074306	3340	2	ENSG00000237330	ENST00000453464	-4246	401934	RNF223	ring finger protein 223
1	1079478	1079929	452	*	Distal Intergenic	1	1082146	1084072	1927	2	ENSG00000131591	ENST00000464905	4143	54991	C1orf159	chromosome 1 open reading frame 159
1	1079478	1079929	452	*	Distal Intergenic	1	1082146	1084072	1927	2	ENSG00000131591	ENST00000464905	4143	54991	C1orf159	chromosome 1 open reading frame 159
1	1109857	1110030	174	*	Intron (ENST00000379339/ENSG00000131591, intron 2 of 11)	1	1082700	1106127	23428	2	ENSG00000131591	ENST00000379319	-3730	54991	C1orf159	chromosome 1 open reading frame 159
1	1136656	1136806	151	*	Promoter (<=1kb)	1	1137017	1144056	7040	1	ENSG00000223823	ENST00000416774	-211	254099	LINC01342	long intergenic non-protein coding RNA 1342
1	1158179	1158344	166	*	Distal Intergenic	1	1167104	1167198	95	1	ENSG00000207730	ENST00000384997	-8760	406984	MIR200B	microRNA 200b
1	1201927	1202718	792	*	Promoter (2-3kb)	1	1203844	1205680	1837	2	ENSG00000186891	ENST00000486728	2962	8784	TNFRSF18	TNF receptor superfamily member 18
