seqnames	start	end	width	strand	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	ENTREZID	SYMBOL	GENENAME
1	629127	629990	864	*	Promoter (<=1kb)	1	629640	630683	1044	1	ENSG00000225630	ENST00000457540	0	100652939	MTND2P28	MT-ND2 pseudogene 28
1	629127	629990	864	*	Promoter (<=1kb)	1	629640	630683	1044	1	ENSG00000225630	ENST00000457540	0	100652939	MTND2P28	MT-ND2 pseudogene 28
1	629127	629990	864	*	Promoter (<=1kb)	1	629640	630683	1044	1	ENSG00000225630	ENST00000457540	0	100652939	MTND2P28	MT-ND2 pseudogene 28
1	629127	629990	864	*	Promoter (<=1kb)	1	629640	630683	1044	1	ENSG00000225630	ENST00000457540	0	100652939	MTND2P28	MT-ND2 pseudogene 28
1	630840	631246	407	*	Promoter (<=1kb)	1	631074	632616	1543	1	ENSG00000237973	ENST00000414273	0	107075141	MTCO1P12	MT-CO1 pseudogene 12
1	630840	631246	407	*	Promoter (<=1kb)	1	631074	632616	1543	1	ENSG00000237973	ENST00000414273	0	107075141	MTCO1P12	MT-CO1 pseudogene 12
1	632030	632207	178	*	Promoter (<=1kb)	1	632325	632413	89	2	ENSG00000278791	ENST00000621981	206	NA	NA	NA
1	632519	632945	427	*	Promoter (<=1kb)	1	632757	633438	682	1	ENSG00000229344	ENST00000427426	0	107075310	MTCO2P12	MT-CO2 pseudogene 12
1	633765	634287	523	*	Promoter (<=1kb)	1	633696	634376	681	1	ENSG00000248527	ENST00000514057	69	106480796	MTATP6P1	MT-ATP6 pseudogene 1
1	633765	634287	523	*	Promoter (<=1kb)	1	633696	634376	681	1	ENSG00000248527	ENST00000514057	69	106480796	MTATP6P1	MT-ATP6 pseudogene 1
1	633765	634287	523	*	Promoter (<=1kb)	1	633696	634376	681	1	ENSG00000248527	ENST00000514057	69	106480796	MTATP6P1	MT-ATP6 pseudogene 1
1	634527	634774	248	*	Promoter (<=1kb)	1	634376	634922	547	1	ENSG00000198744	ENST00000416718	151	107075270	MTCO3P12	MT-CO3 pseudogene 12
1	1067500	1067736	237	*	Promoter (2-3kb)	1	1064518	1066441	1924	1	ENSG00000291156	ENST00000451054	2982	100288175	LOC100288175	uncharacterized LOC100288175
1	1078858	1079115	258	*	Distal Intergenic	1	1070967	1074306	3340	2	ENSG00000237330	ENST00000453464	-4552	401934	RNF223	ring finger protein 223
1	1330755	1331108	354	*	Promoter (<=1kb)	1	1331280	1335314	4035	1	ENSG00000169962	ENST00000339381	-172	83756	TAS1R3	taste 1 receptor member 3
1	1347913	1348090	178	*	Promoter (<=1kb)	1	1341770	1348955	7186	2	ENSG00000107404	ENST00000472445	865	1855	DVL1	dishevelled segment polarity protein 1
1	1472678	1473050	373	*	Promoter (<=1kb)	1	1471784	1496201	24418	1	ENSG00000160072	ENST00000308647	894	83858	ATAD3B	ATPase family AAA domain containing 3B
1	2195134	2195393	260	*	Promoter (<=1kb)	1	2184478	2194775	10298	2	ENSG00000162585	ENST00000414253	-359	199990	FAAP20	FA core complex associated protein 20
1	2212757	2212966	210	*	Promoter (<=1kb)	1	2189548	2212720	23173	2	ENSG00000162585	ENST00000487186	-37	199990	FAAP20	FA core complex associated protein 20
1	2322580	2322760	181	*	Exon (ENST00000661319/ENSG00000287356, exon 3 of 3)	1	2326201	2326693	493	2	ENSG00000272161	ENST00000607720	3933	NA	NA	NA
1	2685863	2686476	614	*	Intron (ENST00000401095/ENSG00000215912, intron 6 of 8)	1	2590639	2633016	42378	2	ENSG00000142606	ENST00000378412	-52847	79258	MMEL1	membrane metalloendopeptidase like 1
1	2687242	2687474	233	*	Intron (ENST00000401095/ENSG00000215912, intron 6 of 8)	1	2590639	2633016	42378	2	ENSG00000142606	ENST00000378412	-54226	79258	MMEL1	membrane metalloendopeptidase like 1
1	2749209	2750538	1330	*	Intron (ENST00000401095/ENSG00000215912, intron 6 of 8)	1	2768091	2784733	16643	1	ENSG00000285945	ENST00000648684	-17553	NA	NA	NA
1	3543276	3543514	239	*	Intron (ENST00000356575/ENSG00000162591, intron 4 of 36)	1	3489920	3531448	41529	2	ENSG00000162591	ENST00000294599	-11828	1953	MEGF6	multiple EGF like domains 6
1	3613600	3613865	266	*	Promoter (2-3kb)	1	3487951	3611508	123558	2	ENSG00000162591	ENST00000356575	-2092	1953	MEGF6	multiple EGF like domains 6
1	3703651	3704021	371	*	Intron (ENST00000378295/ENSG00000078900, intron 3 of 13)	1	3698058	3733091	35034	1	ENSG00000078900	ENST00000378290	5593	7161	TP73	tumor protein p73
1	3809724	3809906	183	*	Distal Intergenic	1	3815239	3816458	1220	2	ENSG00000116198	ENST00000484420	6552	9731	CEP104	centrosomal protein 104
1	3999668	3999863	196	*	Intron (ENST00000642026/ENSG00000284668, intron 2 of 2)	1	4012921	4019508	6588	2	ENSG00000284703	ENST00000642139	19645	NA	NA	NA
1	6860123	6860561	439	*	Intron (ENST00000490738/ENSG00000171735, intron 2 of 2)	1	6853095	6872045	18951	1	ENSG00000171735	ENST00000472283	7028	23261	CAMTA1	calmodulin binding transcription activator 1
1	8182318	8182587	270	*	Distal Intergenic	1	8189824	8192770	2947	1	ENSG00000229305	ENST00000453364	-7237	100129776	LOC100129776	eukaryotic translation initiation factor 2 subunit gamma pseudogene
1	8424220	8424671	452	*	Promoter (<=1kb)	1	8352410	8424234	71825	2	ENSG00000142599	ENST00000465125	0	473	RERE	arginine-glutamic acid dipeptide repeats
1	8501193	8502348	1156	*	Intron (ENST00000337907/ENSG00000142599, intron 9 of 23)	1	8511795	8511919	125	2	ENSG00000221083	ENST00000408156	9571	124900452	LOC124900452	small nucleolar RNA SNORA77
1	8890379	8890562	184	*	Promoter (2-3kb)	1	8893409	8894151	743	1	ENSG00000238249	ENST00000425872	-2847	NA	NA	NA
1	10415331	10415519	189	*	Promoter (<=1kb)	1	10415292	10419830	4539	1	ENSG00000142657	ENST00000498356	39	5226	PGD	phosphogluconate dehydrogenase
1	10528602	10528858	257	*	Intron (ENST00000472851/ENSG00000142655, intron 3 of 3)	1	10535888	10536289	402	1	ENSG00000142655	ENST00000492696	-7030	5195	PEX14	peroxisomal biogenesis factor 14
1	12413841	12414077	237	*	Intron (ENST00000620676/ENSG00000048707, intron 63 of 69)	1	12409838	12416827	6990	1	ENSG00000048707	ENST00000481484	4003	55187	VPS13D	vacuolar protein sorting 13 homolog D
1	12478543	12478826	284	*	Promoter (<=1kb)	1	12478549	12506972	28424	1	ENSG00000048707	ENST00000645148	0	55187	VPS13D	vacuolar protein sorting 13 homolog D
1	13328833	13329015	183	*	Distal Intergenic	1	13324039	13324518	480	1	ENSG00000228229	ENST00000432559	4794	NA	NA	NA
1	15834736	15834926	191	*	Promoter (1-2kb)	1	15836095	15928557	92463	1	ENSG00000065526	ENST00000673875	-1169	23013	SPEN	spen family transcriptional repressor
1	16082465	16082732	268	*	Distal Intergenic	1	16057769	16073651	15883	2	ENSG00000185519	ENST00000375662	-8814	348487	FAM131C	family with sequence similarity 131 member C
1	16613660	16613870	211	*	Promoter (<=1kb)	1	16599589	16613562	13974	2	ENSG00000219481	ENST00000599069	-98	55672	NBPF1	NBPF member 1
1	18618864	18619087	224	*	Distal Intergenic	1	18630846	18748866	118021	1	ENSG00000009709	ENST00000420770	-11759	5081	PAX7	paired box 7
1	19164493	19164947	455	*	Exon (ENST00000375254/ENSG00000127481, exon 32 of 106)	1	19121213	19168055	46843	2	ENSG00000127481	ENST00000417040	3108	23352	UBR4	ubiquitin protein ligase E3 component n-recognin 4
1	20153704	20153961	258	*	Promoter (<=1kb)	1	20154171	20160568	6398	1	ENSG00000227066	ENST00000660429	-210	117779438	LOC117779438	uncharacterized LOC117779438
1	20732935	20733201	267	*	Promoter (<=1kb)	1	20732880	20733952	1073	1	ENSG00000233069	ENST00000436642	55	NA	NA	NA
1	20896868	20897058	191	*	Intron (ENST00000374935/ENSG00000075151, intron 12 of 32)	1	20893111	20941398	48288	2	ENSG00000075151	ENST00000374933	44340	8672	EIF4G3	eukaryotic translation initiation factor 4 gamma 3
1	21149679	21149888	210	*	Intron (ENST00000374935/ENSG00000075151, intron 2 of 32)	1	21161475	21162081	607	1	ENSG00000235112	ENST00000430808	-11587	106480261	HSPE1P27	heat shock protein family E (Hsp10) member 1 pseudogene 27
1	21252067	21252394	328	*	Intron (ENST00000415912/ENSG00000117298, intron 8 of 18)	1	21238149	21256717	18569	2	ENSG00000117298	ENST00000528294	4323	1889	ECE1	endothelin converting enzyme 1
1	21329350	21329604	255	*	Intron (ENST00000415912/ENSG00000117298, intron 1 of 18)	1	21272835	21345137	72303	2	ENSG00000117298	ENST00000463334	15533	1889	ECE1	endothelin converting enzyme 1
1	21329350	21329604	255	*	Intron (ENST00000415912/ENSG00000117298, intron 1 of 18)	1	21272835	21345137	72303	2	ENSG00000117298	ENST00000463334	15533	1889	ECE1	endothelin converting enzyme 1
1	21388431	21388917	487	*	Distal Intergenic	1	21397987	21398362	376	1	ENSG00000236216	ENST00000486095	-9070	NA	NA	NA
1	21452040	21452289	250	*	Intron (ENST00000454000/ENSG00000142794, intron 2 of 13)	1	21444992	21451858	6867	1	ENSG00000142794	ENST00000467103	7048	84224	NBPF3	NBPF member 3
1	21614539	21614856	318	*	Intron (ENST00000374763/ENSG00000076864, intron 4 of 22)	1	21596221	21620041	23821	2	ENSG00000076864	ENST00000374763	5185	5909	RAP1GAP	RAP1 GTPase activating protein
1	22019110	22019302	193	*	Intron (ENST00000650360/ENSG00000285959, intron 7 of 8)	1	22024558	22031223	6666	1	ENSG00000218510	ENST00000635675	-5256	29092	LINC00339	long intergenic non-protein coding RNA 339
1	22025964	22026169	206	*	Promoter (<=1kb)	1	22023990	22026048	2059	2	ENSG00000228397	ENST00000455966	0	101928043	LINC01635	long intergenic non-protein coding RNA 1635
1	22131864	22132305	442	*	Promoter (2-3kb)	1	22127038	22129851	2814	2	ENSG00000162552	ENST00000415567	-2013	54361	WNT4	Wnt family member 4
1	22750640	22751550	911	*	Intron (ENST00000544305/ENSG00000133216, intron 1 of 6)	1	22775178	22913752	138575	1	ENSG00000133216	ENST00000374627	-23628	2048	EPHB2	EPH receptor B2
1	22750640	22751550	911	*	Intron (ENST00000544305/ENSG00000133216, intron 1 of 6)	1	22775178	22913752	138575	1	ENSG00000133216	ENST00000374627	-23628	2048	EPHB2	EPH receptor B2
1	22750640	22751550	911	*	Intron (ENST00000544305/ENSG00000133216, intron 1 of 6)	1	22775178	22913752	138575	1	ENSG00000133216	ENST00000374627	-23628	2048	EPHB2	EPH receptor B2
1	22971741	22971953	213	*	Promoter (<=1kb)	1	22953043	22972866	19824	2	ENSG00000215906	ENST00000426928	913	646262	LACTBL1	lactamase beta like 1
1	23867914	23868172	259	*	Promoter (<=1kb)	1	23845077	23868290	23214	2	ENSG00000179163	ENST00000374479	118	2517	FUCA1	alpha-L-fucosidase 1
1	24321964	24322276	313	*	Promoter (<=1kb)	1	24307556	24321901	14346	2	ENSG00000232298	ENST00000437965	-63	NA	NA	NA
1	24375100	24375627	528	*	Intron (ENST00000337248/ENSG00000001460, intron 5 of 8)	1	24369043	24379823	10781	2	ENSG00000001460	ENST00000438866	4196	90529	STPG1	sperm tail PG-rich repeat containing 1
1	24559501	24559707	207	*	Intron (ENST00000374392/ENSG00000184454, intron 1 of 3)	1	24556087	24609328	53242	1	ENSG00000184454	ENST00000374392	3414	400746	NCMAP	non-compact myelin associated protein
1	24724700	24724919	220	*	Distal Intergenic	1	24704894	24717596	12703	1	ENSG00000284699	ENST00000641176	19806	NA	NA	NA
1	24832966	24833374	409	*	Intron (ENST00000497755/ENSG00000169504, intron 5 of 5)	1	24777873	24777979	107	2	ENSG00000238482	ENST00000459588	-54987	106480094	RNU6-1208P	RNA, U6 small nuclear 1208, pseudogene
1	25568604	25569109	506	*	3' UTR	1	25564591	25567636	3046	1	ENSG00000157978	ENST00000470950	4013	26119	LDLRAP1	low density lipoprotein receptor adaptor protein 1
1	26035882	26036211	330	*	3' UTR	1	26032130	26035004	2875	1	ENSG00000158008	ENST00000470037	3752	2134	EXTL1	exostosin like glycosyltransferase 1
1	26097698	26098176	479	*	Distal Intergenic	1	26111165	26125530	14366	1	ENSG00000175087	ENST00000619836	-12989	149420	PDIK1L	PDLIM1 interacting kinase 1 like
1	26097698	26098176	479	*	Distal Intergenic	1	26111165	26125530	14366	1	ENSG00000175087	ENST00000619836	-12989	149420	PDIK1L	PDLIM1 interacting kinase 1 like
1	26500428	26500685	258	*	Distal Intergenic	1	26519354	26520250	897	2	ENSG00000224129	ENST00000418220	19565	NA	NA	NA
1	26701903	26702148	246	*	Intron (ENST00000430799/ENSG00000117713, intron 1 of 19)	1	26696404	26780817	84414	1	ENSG00000117713	ENST00000457599	5499	8289	ARID1A	AT-rich interaction domain 1A
1	26818642	26819010	369	*	Promoter (1-2kb)	1	26817300	26817476	177	1	ENSG00000287810	ENST00000656287	1342	NA	NA	NA
