seqnames	start	end	width	strand	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	ENTREZID	SYMBOL	GENENAME
1	433563	434553	991	*	Intron (ENST00000455207/ENSG00000290385, intron 1 of 2)	1	439870	440232	363	1	ENSG00000269732	ENST00000437905	-5317	NA	NA	NA
1	629112	630004	893	*	Promoter (<=1kb)	1	629640	630683	1044	1	ENSG00000225630	ENST00000457540	0	100652939	MTND2P28	MT-ND2 pseudogene 28
1	629112	630004	893	*	Promoter (<=1kb)	1	629640	630683	1044	1	ENSG00000225630	ENST00000457540	0	100652939	MTND2P28	MT-ND2 pseudogene 28
1	629112	630004	893	*	Promoter (<=1kb)	1	629640	630683	1044	1	ENSG00000225630	ENST00000457540	0	100652939	MTND2P28	MT-ND2 pseudogene 28
1	629112	630004	893	*	Promoter (<=1kb)	1	629640	630683	1044	1	ENSG00000225630	ENST00000457540	0	100652939	MTND2P28	MT-ND2 pseudogene 28
1	630266	630475	210	*	Promoter (<=1kb)	1	631074	632616	1543	1	ENSG00000237973	ENST00000414273	-599	107075141	MTCO1P12	MT-CO1 pseudogene 12
1	630778	631369	592	*	Promoter (<=1kb)	1	631074	632616	1543	1	ENSG00000237973	ENST00000414273	0	107075141	MTCO1P12	MT-CO1 pseudogene 12
1	630778	631369	592	*	Promoter (<=1kb)	1	631074	632616	1543	1	ENSG00000237973	ENST00000414273	0	107075141	MTCO1P12	MT-CO1 pseudogene 12
1	630778	631369	592	*	Promoter (<=1kb)	1	631074	632616	1543	1	ENSG00000237973	ENST00000414273	0	107075141	MTCO1P12	MT-CO1 pseudogene 12
1	631880	632370	491	*	Promoter (<=1kb)	1	632325	632413	89	2	ENSG00000278791	ENST00000621981	43	NA	NA	NA
1	631880	632370	491	*	Promoter (<=1kb)	1	632325	632413	89	2	ENSG00000278791	ENST00000621981	43	NA	NA	NA
1	632519	632963	445	*	Promoter (<=1kb)	1	632757	633438	682	1	ENSG00000229344	ENST00000427426	0	107075310	MTCO2P12	MT-CO2 pseudogene 12
1	632519	632963	445	*	Promoter (<=1kb)	1	632757	633438	682	1	ENSG00000229344	ENST00000427426	0	107075310	MTCO2P12	MT-CO2 pseudogene 12
1	633098	633525	428	*	Promoter (<=1kb)	1	594191	633129	38939	2	ENSG00000293331	ENST00000440196	0	101928626	LOC101928626	uncharacterized LOC101928626
1	633098	633525	428	*	Promoter (<=1kb)	1	594191	633129	38939	2	ENSG00000293331	ENST00000440196	0	101928626	LOC101928626	uncharacterized LOC101928626
1	633098	633525	428	*	Promoter (<=1kb)	1	594191	633129	38939	2	ENSG00000293331	ENST00000440196	0	101928626	LOC101928626	uncharacterized LOC101928626
1	633745	634898	1154	*	Promoter (<=1kb)	1	634376	634922	547	1	ENSG00000198744	ENST00000416718	0	107075270	MTCO3P12	MT-CO3 pseudogene 12
1	633745	634898	1154	*	Promoter (<=1kb)	1	634376	634922	547	1	ENSG00000198744	ENST00000416718	0	107075270	MTCO3P12	MT-CO3 pseudogene 12
1	633745	634898	1154	*	Promoter (<=1kb)	1	634376	634922	547	1	ENSG00000198744	ENST00000416718	0	107075270	MTCO3P12	MT-CO3 pseudogene 12
